1.	地球観測衛星データを用いたサイエンティフィックコンファレンシング
2.	分散型データベースシステムの検索方法及び性能評価
3.	記述名の利用者向き表現に対応した記述名管理のための情報構造構成法に関する考察
4.	移動型計算機支援を考慮した広域分散ファイルシステム
5.	ダイナミックハイパーメディアシステムへの時間的同期機能の導入
6.	ISDN音声ボードを使ったLANによる公衆回線通話システム
7.	ネットワークキューにおける帯域制御方式
8.	QoSに基づいた連続メディアデータの淘汰機構
9.	ASN.1コンパイラの拡張によるROSE上で動作するOSI応用層プログラムの自動生成
10.	マルチキャストパケットの配送木に求められる性質について
11.	ロケーションオリエンテッドな情報空間の構築
12.	空間光通信における複数プロトコルの自動判別方式
13.	自己トークンプロトコルによるマルチメディア通信の実現
14.	マルチメディア処理の要素 ネットワーク上の時間同期とブラウジング
15.	校内ネットワーク上でのメディア利用
16.	LANとISDN回線間の音声通信
17.	招待講演:音声認識における探索技法
18.	長距離超高速インターネットの特性解析
19.	Virtual Internet Protocol Version 2
20.	分散環境におけるマルチメディア処理機構の実装と評価 一情報提供システムCosaic一
21.	Mew-構造を持つメールへのインターフェイス
22.	OSI適合性試験スイートの評価法ーマルチトランジションカパレジー
23.	NMWシステムを用いたネットワーク管理系の運用報告と，新たな応用分野に関する検討
24.	携帯型情報伝達装置を活用した大規模コンピュータネットワークの管理手法 一第2報:運用実績、現状、今後の方針一
25.	ネットワークトラフィック情報の自動収集&統計機構
26.	並列FFTアルゴリズムの評価
27.	広域的仮想共有メモリによるギガビットネットワークコンピューティング
28.	General Consensus Protocols
29.	作業の質を高める快適な作業環境のー検討
30.	自律エージェントの環境観測に関する考察
31.	クラスルーム支援システム
32.	分散システムの仕様記述と検証に関する研究
33.	TCCS仕様記述対応LOTOS ー T実行環境構築をベースとするソフトTCCSメカニズムの研究
34.	分散システムにおける動的改版のためのグループ通信(その3)
