1.	無人航空機による災害時向けメッセージ蓄積中継システム
2.	Experimentation of Emergency Detour Route to Enhance Unstable Networks in Wakkanai, Hokkaido
3.	被災情報の収集を目的としたDTNにおけるメッセージ到達率の向上と冗長送信数の削減を実現する自律的中継手法の提案
4.	P2P型センサデータストリーム配信システムにおける耐障害性向上のための複製ノード配置手法の検討
5.	データ更新が頻繁な環境におけるスカイラインデータ計算アルゴリズムの提案
6.	構造化P2Pネットワークにおけるスケーラブルで正確なデータ集計手法
7.	1フレーム分の描写処理終了推定によるGPU状態制御
8.	特別企画 2「リーダー研究者とのテーブルディスカッション
9.	特別企画 1「若手研究者のためのテーブルディスカッション 2 日目」
10.	東京都心部と郊外における走行車両の公衆無線LANアクセスポイントとの遭遇頻度の基礎調査
11.	広帯域ストリーム伝送を実現する動的なアプリケーションネットワーク制御方式の提案
12.	網羅的シミュレーションによる都市部無線LANチャネルの性能予測モデル
13.	広帯域離散OFDM技術における適応変調制御方式の基本性能評価
14.	パネルディスカッション「産業界が IT 系学生に期待すること」～産と学は交われるのか、それともギャップは存在したままか～
15.	アドホックネットワークにおける凸包端末の検索手法
16.	無線ノードの故障検出機能を備えた無線マルチホップ配送
17.	自動車アドホックネットワークにおける道路の接続性を利用したブロードキャストプロトコル
18.	食事・行動履歴に基づく非侵襲的血糖値・空腹度推定手法
19.	ウェアラブルデバイスによる食べる動作に着目した食事内容推定の研究
20.	キャリア支援活動への要求条件とエントリーシート作成支援システムの試作効果について
21.	クラウド・インフラストラクチャの研究と将来の方向性
22.	ジオフェンシングにおける端末省電力化のための各種センサを用いた屋内外判定手法の検討
23.	車載スマートフォンにおけるプローブデータのモデル化と圧縮方式
24.	大規模無線センサネットワークに向けたノード最適化の検討
25.	HTML5とRESTに基づく着脱容易なファイアウォールの実現・制御法の提案
26.	MMD Transporter を用いた 3DCG コンテンツ制作環境の相互協調
27.	加速度センサを用いた二輪車向けスマートフォン操作UIの検討
28.	車両に取り付けたカメラによる路面標示の擦り切れ検出手法の提案
29.	A Proposal of an Endorsement Based Mobile Payment System for A Disaster Area
30.	深度センサによるマルチアングル歩行認証のための身体動揺時系列の特性分析
31.	構造化P2Pネットワークにおける類似度検索のための次元圧縮手法の検討
32.	道路交通網状でパケット配送を実現する 車々間通信を併用した距離ベクトルルーティング
33.	ランプ型秘密分散法を用いた秘密分散伝送における送信情報の秘匿性向上に関する考察
34.	災害時の屋内3Dマップ生成のための可動ノードの協調探索手法の提案
35.	停電した地下街向けのスマートフォンの光を用いた避難誘導方式の提案
36.	大都市における車両走行時間を短縮する交通信号制御および経路案内方式の提案
37.	ファイルの共有関係に着目したアプリケーション実行環境の移送方法
38.	利用資源に応じたプログラム実行環境の移送方法の選択手法
39.	屋内位置推定用マーカにおける不可視化の検討
40.	キュレータの価値観に基づく複数映像情報流の実時間編纂支援システム
41.	モノのインターネットにおける異なる端末環境に対応可能なP2P型センサデータストリーム配信システムの一実装
42.	桜ナビ:参加型桜動画収集・共有とルート案内システム
43.	Scenargieを用いたAndroidエミュレーション環境の構築
44.	位置プライバシ問題の啓蒙のためのダミーによる位置曖昧化手法の体験システムの実装
45.	GPS軌跡を用いた集合知による道路地図作成システムのためのRaspberry PiとArduinoによる可搬式信号機の設計
46.	GPGPUを利用したビデオ画像の輪郭トレースとその応用
47.	特別企画 1「若手研究者のためのテーブルディスカッション 1 日目」
48.	ポスター／デモ タイトル一覧
49.	How Does Nondeterminism Occur in Complex Systems and What Can We Do About It?
50.	受信ノード主導型MACプロトコルを利用した管理コストが低い長寿命な無線センサネットワーク
51.	無線メッシュ網のための無線LANの緩い時分割による仮想多チャンネル化
52.	IEEE802.11を用いた隠れ端末問題のない無線メッシュ網～ネットワークアーキテクチャとスケジューリング～
53.	パブリックスペース置型無線APにおけるダウンリンク帯域の不正占有対策
